id,left_0,left_1,left_2,left_3,left_4,left_5,right_0,right_1,right_2,right_3,right_4,right_5,direct_0,direct_1,direct_2,direct_3,direct_4,direct_5
1360,0,0,4,0,1,5,0,0,3,0,0,0,0,4,22,0,17,4
16,0,0,1,0,1,1,0,0,0,0,0,1,0,0,6,0,27,2
3445,0,0,8,0,3,1,0,0,1,0,0,1,0,0,8,0,3,8
401,0,0,1,0,0,0,0,0,0,0,22,4,0,0,13,0,57,17
1029,0,0,0,0,4,1,0,0,0,0,1,1,0,0,2,0,40,6
1028,0,1,6,0,0,2,0,1,26,0,2,1,0,2,6,0,7,13
358,0,0,1,0,3,2,0,0,0,0,0,1,0,0,2,0,14,4
2064,0,0,1,0,0,0,0,0,1,0,0,2,0,3,23,0,6,3
724,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,4,1
2021,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,6,7
2696,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,11,8
817,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,10,4
2107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,10,2
2029,0,0,1,0,2,3,0,0,2,0,7,0,0,1,6,0,8,7
2105,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,4
110,0,0,0,0,1,4,0,0,0,0,1,4,0,0,15,0,37,10
741,0,0,0,0,1,1,0,0,0,0,11,5,0,0,1,0,12,9
152,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,4,7
154,0,1,0,0,0,0,0,0,0,0,4,2,0,0,2,0,5,13
2866,0,0,0,0,10,2,0,0,0,0,1,1,0,0,0,0,9,1
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,5,0
37,0,0,0,0,0,1,0,0,2,0,5,3,0,0,10,0,19,8
2637,0,0,0,0,2,1,0,0,0,0,29,7,0,0,1,0,14,1
609,0,0,0,0,1,0,0,0,5,0,3,0,0,0,8,0,7,4
2436,0,0,0,0,0,1,0,0,1,0,5,1,0,2,24,0,19,2
239,0,0,0,0,0,3,0,0,0,0,2,2,0,0,1,0,5,27
3537,0,0,0,0,0,1,0,0,5,0,28,1,0,0,0,0,17,0
234,0,0,0,0,5,3,0,0,0,0,2,1,0,0,1,0,5,6
621,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,4
2944,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14,0,12,17
1814,0,0,0,0,0,0,0,0,1,0,3,2,0,0,14,0,9,2
1051,0,1,4,0,1,1,0,5,14,0,4,2,0,4,16,0,7,1
1052,0,0,0,0,0,4,0,0,1,0,2,1,0,0,0,0,40,15
2132,0,0,3,0,8,2,0,0,0,0,1,2,0,0,1,0,7,9
636,0,0,1,0,0,1,0,0,2,0,6,4,0,0,0,0,1,2
518,0,0,0,0,0,3,0,0,0,0,6,0,0,0,2,0,4,1
47,0,1,3,0,1,1,0,0,1,0,1,1,0,0,7,0,19,4
44,0,0,1,0,0,7,0,0,0,0,3,3,0,0,1,0,3,21
2225,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,3,4
1612,0,0,2,0,0,1,0,0,0,0,7,4,0,0,7,0,5,9
3347,0,4,2,0,1,0,0,0,7,0,9,18,0,1,14,0,29,7
957,0,0,0,0,0,0,0,0,2,0,1,2,0,2,7,0,7,0
1196,0,0,0,0,17,25,0,0,0,0,1,1,0,0,1,0,6,4
1,0,0,1,0,2,0,0,3,1,0,4,0,0,0,7,0,4,3
2001,0,0,0,0,0,1,0,0,3,0,0,0,0,0,7,0,3,4
2033,0,0,0,0,2,0,0,0,1,0,2,6,0,0,10,0,33,8
1690,0,0,1,0,2,1,0,0,2,0,3,7,0,0,0,0,4,1
